FileTable,8,10.03.2020 08:16:03.956,  StateTime=10.03.2020 08:16:00.174 TEFF=80.08 POWER=3000.88 CB=4.16 H10=91.37;
NKni,char,4;L_1,number,14;L_2,number,14;L_3,number,14;L_4,number,14;L_5,number,14;L_6,number,14;L_7,number,14;
NKni|L_1           |L_2           |L_3           |L_4           |L_5           |L_6           |L_7           |
1   |1             |1             |1             |1             |1             |1             |1             |
2   |1             |1             |1             |1             |1             |1             |1             |
3   |1             |1             |1             |1             |1             |1             |1             |
4   |1             |1             |1             |1             |1             |1             |1             |
5   |1             |1             |1             |1             |1             |1             |1             |
6   |1             |1             |1             |1             |1             |1             |1             |
7   |1             |1             |1             |1             |1             |1             |1             |
8   |1             |1             |1             |1             |1             |1             |1             |
9   |1             |1             |1             |1             |1             |1             |1             |
10  |1             |1             |1             |1             |1             |1             |1             |
11  |1             |1             |1             |1             |1             |1             |1             |
12  |1             |1             |1             |1             |1             |1             |1             |
13  |1             |1             |1             |1             |1             |1             |1             |
14  |1             |1             |1             |1             |1             |1             |1             |
15  |1             |1             |1             |1             |1             |1             |1             |
16  |1             |1             |1             |1             |1             |1             |1             |
17  |1             |1             |1             |1             |1             |1             |1             |
18  |1             |1             |1             |1             |1             |1             |1             |
19  |1             |1             |1             |1             |1             |1             |1             |
20  |1             |1             |1             |1             |1             |1             |1             |
21  |1             |1             |1             |1             |1             |1             |1             |
22  |1             |1             |1             |1             |1             |1             |1             |
23  |1             |1             |1             |1             |1             |1             |1             |
24  |1             |1             |1             |1             |1             |1             |1             |
25  |1             |1             |1             |1             |1             |1             |1             |
26  |1             |1             |1             |1             |1             |1             |1             |
27  |1             |1             |1             |1             |1             |1             |1             |
28  |1             |1             |1             |1             |1             |1             |1             |
29  |1             |1             |1             |1             |1             |1             |1             |
30  |1             |1             |1             |1             |1             |1             |1             |
31  |1             |1             |1             |1             |1             |1             |1             |
32  |1             |1             |1             |1             |1             |1             |1             |
33  |1             |1             |1             |1             |1             |1             |1             |
34  |1             |1             |1             |1             |1             |1             |1             |
35  |1             |1             |1             |1             |1             |1             |1             |
36  |1             |1             |1             |1             |1             |1             |1             |
37  |1             |1             |1             |1             |1             |1             |1             |
38  |1             |1             |1             |1             |1             |1             |1             |
39  |1             |1             |1             |1             |1             |1             |1             |
40  |1             |1             |1             |1             |1             |1             |1             |
41  |1             |1             |1             |1             |1             |1             |1             |
42  |1             |1             |1             |1             |1             |1             |1             |
43  |1             |1             |1             |1             |1             |1             |1             |
44  |1             |1             |1             |1             |1             |1             |1             |
45  |1             |1             |1             |1             |1             |1             |1             |
46  |1             |1             |1             |1             |1             |1             |1             |
47  |1             |1             |1             |1             |1             |1             |1             |
48  |1             |1             |1             |1             |1             |1             |1             |
49  |1             |1             |1             |1             |1             |1             |1             |
50  |1             |1             |1             |1             |1             |1             |1             |
51  |1             |1             |1             |1             |1             |1             |1             |
52  |1             |1             |1             |1             |1             |1             |1             |
53  |1             |1             |1             |1             |1             |1             |1             |
54  |1             |1             |1             |1             |1             |1             |1             |
55  |1             |1             |1             |1             |1             |1             |1             |
56  |1             |1             |1             |1             |1             |1             |1             |
57  |1             |1             |1             |1             |1             |1             |1             |
58  |1             |1             |1             |1             |1             |1             |1             |
59  |1             |1             |1             |1             |1             |1             |1             |
60  |1             |1             |1             |1             |1             |1             |1             |
61  |1             |1             |1             |1             |1             |1             |1             |
62  |1             |1             |1             |1             |1             |1             |1             |
63  |1             |1             |1             |1             |1             |1             |1             |
64  |1             |1             |1             |1             |1             |1             |1             |
