FileTable,6,01.01.1970 03:00:00.000;
ItemID,number,14;Type,number,14;State,number,14;LstName,char,16;FullName,char,60;ParentID,number,14;
ItemID        |Type          |State         |LstName         |FullName                                                    |ParentID      |
16777217      |1             |1             |                |Входные переменные                                          |4             |
16777218      |1             |0             |                |Расчетные переменные (ПФР)                                  |4             |
16777219      |1             |0             |                |Термоконтроль                                               |16777217      |
16777220      |1             |1             |                |Нормированные переменные                                    |16777217      |
16777221      |1             |0             |                |КНИ-ДПЗ                                                     |16777217      |
16777222      |1             |0             |                |Дискретные переменные                                       |16777217      |
16777223      |5             |1             |YC00T??         |ТП на выходе ТВС и ОО                                       |16777219      |
16777224      |5             |0             |YA?2T01         |ТПХН(1:4)                                                   |16777219      |
16777225      |5             |0             |YA?1T27*_32*    |ТПГН(1:8)                                                   |16777219      |
16777227      |5             |0             |YA?2T32*-100*   |ТСХН(1:8)                                                   |16777219      |
16777228      |5             |0             |YA?1T31*-100*   |ТСГН(1:8)                                                   |16777219      |
16777229      |5             |1             |HL??_*          |ТСКК                                                        |16777219      |
16777230      |5             |0             |HL71T0?B*       |ТСКК петли                                                  |16777219      |
16777231      |5             |0             |RL7?T01*        |Т пит воды к ПГ перед СУ                                    |16777219      |
16777232      |5             |1             |RL6?T03*        |Т пит воды перед ПВД6А/Б                                    |16777219      |
16777233      |5             |0             |RL6?T04*        |Т пит воды после ПВД7А/Б                                    |16777219      |
16777234      |5             |0             |YA?0P18*        |Перепад давления на ГЦН                                     |16777220      |
16777235      |5             |0             |RL7?P01*        |Давление пит воды к ПГ                                      |16777220      |
16777236      |5             |0             |YB?0L11*        |Уровень котловой воды в ПГ                                  |16777220      |
16777237      |5             |0             |RC11P01*        |Давление пара в ГПК                                         |16777220      |
16777238      |5             |0             |RL60P01*        |Давление пит воды после ПВД гр.А                            |16777220      |
16777239      |5             |0             |YB?0P10*        |Давление пара в ПГ                                          |16777220      |
16777240      |5             |0             |YA?0P17*        |Перепад давления на ПГ                                      |16777220      |
16777241      |5             |0             |RL4?P100*       |Перепад давления пит воды на СУ к ПГ                        |16777220      |
16777242      |5             |0             |RL?0P100*       |Перепад давления пит воды на СУ после ПВД А/Б               |16777220      |
16777243      |5             |0             |GT01N01*        |Активная мощность ТГ                                        |16777220      |
16777244      |5             |1             |YD?0H1?*        |Частота ГЦН                                                 |16777220      |
16777245      |5             |0             |TV-TK           |С бора                                                      |16777220      |
16777246      |5             |0             |YP10L01*        |Уровень в КД                                                |16777220      |
16777247      |5             |0             |YC70P06*        |Давление над АКЗ                                            |16777220      |
16777248      |5             |0             |YC14P03*        |Перепад давления на АКЗ                                     |16777220      |
16777249      |5             |1             |SZ*A*           |Положение ОР СУЗ                                            |16777220      |
16777250      |1             |0             |                |АКНП                                                        |16777220      |
16777251      |5             |0             |YCUNMDE?B1*     |NИКЭ ДР2                                                    |16777250      |
16777252      |5             |0             |YCUNMDE?B2*     |NКИП ДР1                                                    |16777250      |
16777253      |5             |0             |YCUNMDP?B1*     |NКИП ДП                                                     |16777250      |
16777254      |5             |0             |YCPIMPDE?B1*    |ТИКЭ ДР                                                     |16777250      |
16777255      |5             |0             |YCPIMPDP?B1*    |ТКИП ДП                                                     |16777250      |
16777256      |5             |0             |YCZUMDE?B1*     |Уставка мощности АКНП ДР                                    |16777250      |
16777257      |5             |0             |YC00X??X0?B1*   |Ток ДПЗ                                                     |16777221      |
16777258      |5             |0             |YC00X??X0?B2*   |Фоновый ток ДПЗ                                             |16777221      |
16777259      |5             |0             |YC00X??X0?B3*   |R изоляции тока                                             |16777221      |
16777260      |5             |0             |YC00X??X0?B4    |R изоляции фон.тока                                         |16777221      |
16777261      |5             |0             |YD?0D01B*       |Состояние ГЦН                                               |16777222      |
16777262      |5             |0             |POM*            |РОМ                                                         |16777222      |
16777263      |5             |0             |S05K*           |Ключ ПЗ/АЗ                                                  |16777222      |
16777264      |5             |0             |ARM*            |АРМ                                                         |16777222      |
16777265      |5             |0             |YP10W*          |НГКО                                                        |16777222      |
16777266      |5             |0             |VNV70B*         |ВКТГ                                                        |16777222      |
16777267      |5             |0             |S05K0*          |Сигнал ПЗ/АЗ                                                |16777222      |
16777268      |5             |1             |RA1?S02B*       |СКТГ                                                        |16777222      |
16777269      |5             |0             |YCKARMB*        |ПКР                                                         |16777222      |
16777270      |5             |0             |TX?0S06SB*      |Полож запор.арм. на пар. лин.ПГ                             |16777222      |
16777271      |5             |0             |YP2?S01B*       |Полож. пред кл КО                                           |16777222      |
16777272      |1             |0             |                |АКНП                                                        |16777222      |
16777273      |5             |0             |AKNPDP?B*       |Работа АКНП ДР1                                             |16777272      |
16777274      |5             |0             |AKNPDE?B*       |Работа АКНП ДР2                                             |16777272      |
16777275      |5             |0             |AKNPDI?B*       |Работа АКНП ДП                                              |16777272      |
16777276      |5             |0             |UNO*            |Исправность АКНП                                            |16777272      |
16777277      |1             |0             |                |DATA.RU - основные переменные РУ                            |16777218      |
16777278      |1             |0             |                |DATA.KAS - кассетные поля                                   |16777218      |
16777279      |1             |0             |                |DATA.PRIZM - объемные поля                                  |16777218      |
16777280      |1             |0             |                |DATA.Tvs                                                    |16777218      |
16777281      |1             |0             |                |DATA.DVodoobmen - исходные данные                           |16777218      |
16777282      |5             |0             |*_A             |Средние  величины                                           |16777277      |
16777283      |5             |0             |REACT_*         |Реактивность                                                |16777277      |
16777284      |5             |0             |*DT*            |Подогревы                                                   |16777277      |
16777285      |5             |0             |*_V             |Скорости изменения                                          |16777277      |
16777287      |5             |0             |*F*             |Расходы                                                     |16777277      |
16777288      |5             |0             |*_S             |Суммарные значения                                          |16777277      |
16777289      |5             |0             |*N              |Мощности                                                    |16777277      |
16777290      |1             |0             |                |DATA.FUS_DQV - функционалы полей                            |16777218      |
16777292      |5             |0             |*T              |Температуры                                                 |16777277      |
16777293      |5             |0             |QED             |ЭВ по ДПЗ                                                   |16777277      |
16777294      |5             |0             |ZE*             |Протекший через ДПЗ заряд                                   |16777277      |
16777295      |5             |0             |YC00*           |Режим, КПД,ТЭФФ,ОФЭД,сост.петель                            |16777277      |
16777296      |5             |0             |OFST*           |Аксиальный оффсет                                           |16777278      |
16777297      |5             |0             |YC00T_DT*       |DT на ТВС                                                   |16777278      |
16777298      |5             |0             |KQ              |Коэф.неравн. ЭВ в ТВС                                       |16777278      |
16777299      |5             |0             |QVCAS*          |Мощность ТВС                                                |16777278      |
16777300      |5             |0             |YC00T_IN*       |Т на входе ТВС                                              |16777278      |
16777301      |5             |0             |YC00T_OUT*      |Т на выходе ТВС                                             |16777278      |
16777302      |5             |0             |SLCAS*          |Энерговыработка                                             |16777278      |
16777303      |5             |0             |DNBT*           |Запас до кипения                                            |16777278      |
16777304      |5             |0             |VO_*            |Параметры водообмена                                        |16777281      |
16777305      |5             |0             |OFST            |Офсет по восстановл. полю                                   |16777290      |
16777306      |5             |0             |IOD*            |Концентр. иода в ТВС                                        |16777279      |
16777307      |5             |0             |KCQMF*          |Коэф.нагр.центр.ТВЭЛа                                       |16777279      |
16777308      |5             |0             |KKQMF*          |Коэф.неравн.нагр. на ТВЭЛ                                   |16777279      |
16777309      |5             |0             |DNBR*           |Запас до кризиса теплоотдачи                                |16777279      |
16777310      |5             |0             |KV*             |Коэф.неравн.объем.ЭВ в ТВС                                  |16777279      |
16777311      |5             |0             |KV7L*           |KV 163x7                                                    |16777279      |
16777312      |5             |0             |PM*             |Концентр.прометия в ТВС                                     |16777279      |
16777313      |5             |0             |QV?????         |Мощность призмы в ТВС                                       |16777279      |
16777314      |5             |0             |SM*             |Концентр.самария в ТВС                                      |16777279      |
16777315      |5             |0             |QVMF*           |Лин.ЭВ ТВЭЛа в ТВС                                          |16777279      |
16777316      |5             |0             |XE*             |Концентр.ксенона в ТВС                                      |16777279      |
16777317      |5             |0             |TVQ             |С бор                                                       |16777277      |
16777318      |5             |0             |SL*             |Энерговыработка в ТВС                                       |16777279      |
16777319      |5             |0             |tvQL*           |Лин.ЭВ ТВЭЛ                                                 |16777280      |
16777320      |5             |0             |tvZH*           |Выгорание ТВЭЛ                                              |16777280      |
16777321      |5             |0             |tvUS*           |Уставка лин. ЭВ ТВЭЛ                                        |16777280      |
16777322      |5             |0             |tv??nTVS        |Номера ТВС                                                  |16777280      |
16777323      |5             |0             |DEGR_DPZC       |Общ.кол-во отбрак. ДПЗ в ПФР                                |16777279      |
16777324      |5             |0             |usQVMF*         |Уставка лин.ЭВ ТВЭЛа в ТВС                                  |16777279      |
16777325      |5             |0             |SLC*            |Шлаки центр.ТВЭЛ в ТВС                                      |16777279      |
16777326      |5             |0             |SLK*            |Шлаки в погл. в ТВС                                         |16777279      |
16777327      |1             |0             |                |Диагностические переменные                                  |4             |
16777328      |5             |0             |DG_SDK1*        |Диагн.перем. СДК1                                           |16777327      |
16777329      |5             |0             |DG_SDK2*        |Диагн.перем. СДК2                                           |16777327      |
16777330      |5             |0             |DG_SOK1*        |Диагн.перем. СОК1                                           |16777327      |
16777331      |5             |0             |DG_SOK2*        |Диагн.перем. СОК2                                           |16777327      |
16777332      |5             |0             |DG_SVU1*        |Диагн.перем. СВУ1                                           |16777327      |
16777333      |5             |0             |DG_SVU2*        |Диагн.перем. СВУ2                                           |16777327      |
16777334      |5             |0             |DG_RMRO1        |Диагн.перем. РМРО1                                          |16777327      |
16777335      |5             |0             |DG_RMRO2        |Диагн.перем. РМРО2                                          |16777327      |
16777336      |5             |0             |DG_SDI1*        |Диагн.перем. СДИ1                                           |16777327      |
16777337      |5             |0             |DG_SDI2*        |Диагн.перем. СДИ2                                           |16777327      |
16777338      |5             |0             |RL40T100B1*     | Т общ.кол-ра перед ПГ (за ПВД)                             |16777219      |
16777339      |5             |0             |SZ??            |Положение ОР СУЗ (%)                                        |16777220      |
16777340      |1             |1             |                |test                                                        |4             |
16777341      |5             |1             |proba           |proba                                                       |16777340      |
16777342      |5             |0             |DVQ             |доп-е функционалы OFSTR,TVQK                                |16777290      |
16777343      |1             |0             |                |DATA.fSED                                                   |16777218      |
16777344      |5             |0             |SED             |Коэф-ты чувствительности                                    |16777343      |
16777345      |5             |0             |Reactivity      |Реактивность                                                |16777277      |
16777346      |1             |0             |                |DATA.RAS                                                    |16777218      |
16777347      |5             |0             |RAS             |Расцепка СУЗ                                                |16777346      |
16777348      |5             |0             |RL4?T101B*      |Т питводы ПГ после СУ                                       |16777219      |
16777349      |5             |0             |YA??TTS*        |Т т/н ток сигнал                                            |16777219      |
16777350      |1             |1             |                |Алгоритмы                                                   |4             |
16777352      |1             |1             |                |Продyвка                                                    |16777220      |
16777353      |5             |1             |RL4?P100        |Перепад давления  пит воды на СY к ПГ                       |16777352      |
16777354      |5             |0             |RL7?P01         |Давление пит воды к ПГ                                      |16777352      |
16777355      |5             |0             |RL4?T101B?      |Т пит воды к ПГ после СY по ТС?                             |16777352      |
16777356      |5             |0             |RL7?T01         |Т пит воды к ПГ перед СY                                    |16777352      |
16777357      |5             |0             |RL?0P100        |Перепад давления на СY после ПВД                            |16777352      |
16777358      |5             |0             |RL60P01         |Давление после ПВД гр А                                     |16777352      |
16777359      |5             |0             |RL6?T0?(B?)     |Т пит воды перед/после ПВД                                  |16777352      |
16777360      |5             |0             |RL6?F(01)       |Расход пит воды на СУ после ПВД                             |16777352      |
16777361      |5             |0             |RL7?F(01)       |Расход пит воды на СУ к ПГ                                  |16777352      |
16777362      |5             |0             |RY??F01(S)      |Расход постоянной продувки                                  |16777352      |
16777363      |5             |0             |RY6?(??)F01(6 ) |Расход периодической продувки                               |16777352      |
16777364      |5             |1             |RY??S05         |Положение арматуры период продувки                          |16777352      |
16777365      |5             |0             |RY??N           |Мощность продувки                                           |16777352      |
16777366      |5             |0             |N1k             |Мощность 1 контура                                          |16777350      |
16777367      |5             |0             |N2k             |Мощность 2 контура                                          |16777350      |
16777368      |5             |0             |Npvd            |Мощность ПВД                                                |16777350      |
16777369      |1             |1             |                |VRK1                                                        |4             |
16777370      |5             |0             |ПТСП            |25                                                          |16777369      |
16777371      |1             |1             |                |VRK2                                                        |4             |
16777372      |5             |0             |ПТСП 06         |                                                            |16777371      |
